"""Site name""","URL","Teams","Channel sites","Storage used (GB)","Primary admin","Hub","Template","Last activity (UTC)","Date created","Created by","Storage limit (GB)","Storage used (%)","Microsoft 365 group","Files viewed or edited","Page views","Page visits","Files","Sensitivity","External sharing","Segments","CorrectedUrl"
"1- Consultant Group Template","https://orielstat.sharepoint.com/sites/consultantgrouptemplate","FALSE","","0","","","Team site","1/31/2022 16:00","8/23/2017 9:44","Consultant Group Template","25600","0","TRUE","0","1","1","11","","On","","https://validanto365.sharepoint.com/sites/OSAM-consultantgrouptemplate"
"12Sigma_Deliverables","https://orielstat.sharepoint.com/sites/12sigma_deliverables","TRUE","","0.08","","","Team site","6/3/2021 17:00","3/19/2019 7:56","Pavan Sundrani","25600","0","TRUE","0","0","0","100","","On","",
"3MHE-1368-QMS-13485-QSR","https://orielstat.sharepoint.com/sites/3mhe-1368-qms-13485-qsr","FALSE","","0.01","","","Team site","2/5/2022 16:00","7/20/2021 10:39","3MHE-1368-QMS-13485-QSR Owners","25600","0","TRUE","0","1","1","26","","On","",
"ABBO-1228-SOFTWARE_CON","https://orielstat.sharepoint.com/sites/abbo-1228-software_con","FALSE","","0.34","","","Team site","1/27/2022 16:00","6/11/2021 13:38","ABBO-1228-SOFTWARE_CON Owners","25600","0","TRUE","3","0","0","89","","On","",
"Abbott Diabetes Care","https://orielstat.sharepoint.com/sites/abbottdiabetescare","FALSE","","0","","","Team site","6/30/2021 17:00","7/24/2019 8:15","Pavan Sundrani","25600","0","TRUE","0","0","0","5","","On","","https://validanto365.sharepoint.com/sites/OSAM-abbottdiabetescare"
"ABCA-1207-BASE-IVDR","https://orielstat.sharepoint.com/sites/abca-1207-base-ivdr","FALSE","","0.15","","","Team site","1/24/2022 16:00","3/30/2021 13:01","ABCA-1207-BASE-IVDR Owners","25600","0","TRUE","1","1","1","105","","On","",
"ABIO-1427-AXSESS-MDR","https://orielstat.sharepoint.com/sites/abio-1427-axsess-mdr","FALSE","","0.14","","","Team site","1/25/2022 16:00","8/2/2021 9:03","ABIO-1427-AXSESS-MDR Owners","25600","0","TRUE","1","2","1","36","","On","",
"ABRE-1287-EUA","https://orielstat.sharepoint.com/sites/abre-1287-eua","FALSE","","0.04","","","Team site","6/24/2021 17:00","6/4/2021 11:54","ABRE-1287-EUA Owners","25600","0","TRUE","0","0","0","30","","On","",
"Accelerate Legal Request","https://orielstat.sharepoint.com/sites/AccelerateLegalRequest","FALSE","","0.47","","","Team site","10/17/2021 17:00","10/14/2021 7:42","Accelerate Legal Request Owners","25600","0","TRUE","0","0","0","864","","On","","https://validanto365.sharepoint.com/sites/OSAM-AccelerateLegalRequest"
"ADBI-1070-QMS-QSR","https://orielstat.sharepoint.com/sites/adbi-1070-qms-qsr","FALSE","","0.36","","","Team site","1/24/2022 16:00","1/14/2021 10:14","ADBI-1070-QMS-QSR Owners","25600","0","TRUE","1","1","1","93","","On","",
"ADVA-0724-AXSESS-MDR","https://orielstat.sharepoint.com/sites/adva-0724-axsess-mdr","FALSE","","0.34","","","Team site","11/29/2021 16:00","2/7/2020 13:15","Deborah Hatcher","25600","0","TRUE","0","0","0","129","","On","",
"ADVA-1350-INTERNAL - MDR + MDSAP","https://orielstat.sharepoint.com/sites/adva-1350-internal-mdrmdsap","FALSE","","0.23","","","Team site","12/7/2021 16:00","6/17/2021 11:22","ADVA-1350-INTERNAL - MDR + MDSAP Owners","25600","0","TRUE","0","0","0","86","","On","","https://validanto365.sharepoint.com/sites/OSAM-adva-1350-internal-mdrmdsap"
"ADVA-1382-EU-MDR-TRANSITION","https://orielstat.sharepoint.com/sites/adva-1382-eu-mdr-transition","FALSE","","0.03","","","Team site","8/3/2021 17:00","7/12/2021 5:34","ADVA-1382-EU-MDR-TRANSITION Owners","25600","0","TRUE","0","0","0","22","","On","",
"ADVA-1452-INTERNAL - MDR + MDSAP","https://orielstat.sharepoint.com/sites/adva-1452-internal-mdrmdsap","FALSE","","0.77","","","Team site","1/25/2022 16:00","9/2/2021 8:24","ADVA-1452-INTERNAL - MDR + MDSAP Owners","25600","0","TRUE","1","1","1","195","","On","","https://validanto365.sharepoint.com/sites/OSAM-adva-1452-internal-mdrmdsap"
"ADVA-1544-INTERNAL - MDR + MDSAP","https://orielstat.sharepoint.com/sites/adva-1544-internal-mdrmdsap","FALSE","","0.63","","","Team site","1/25/2022 16:00","11/10/2021 10:10","ADVA-1544-INTERNAL - MDR + MDSAP Owners","25600","0","TRUE","6","1","1","127","","On","","https://validanto365.sharepoint.com/sites/OSAM-adva-1544-internal-mdrmdsap"
"AMAZ-1074-NPSW-VALIDATION","https://orielstat.sharepoint.com/sites/amaz-1074-npsw-validation","FALSE","","0.03","","","Team site","6/14/2021 17:00","1/14/2021 7:51","AMAZ-1074-NPSW-VALIDATION Owners","25600","0","TRUE","0","0","0","58","","On","",
"AMER-0802-QMS-QSR","https://orielstat.sharepoint.com/sites/amer-0802-qms-qsr","FALSE","","0.1","","","Team site","1/20/2022 16:00","4/15/2020 6:06","Deborah Hatcher","25600","0","TRUE","1","1","1","538","","On","",
"AMER-1468-STAFFAUG-RA-QA","https://orielstat.sharepoint.com/sites/amer-1468-staffaug-ra-qa","FALSE","","0","","","Team site","11/10/2021 16:00","9/22/2021 6:35","AMER-1468-STAFFAUG-RA-QA Owners","25600","0","TRUE","0","0","0","8","","On","",
"Amy's Tasks","https://orielstat.sharepoint.com/sites/AmysTasks","FALSE","","0","","","Team site","","11/19/2021 8:31","Amy's Tasks Owners","25600","0","TRUE","0","0","0","0","","On","","https://validanto365.sharepoint.com/sites/OSAM-AmysTasks"
"Amy's Test Kitchen","https://orielstat.sharepoint.com/sites/AmysTestKitchen","FALSE","","0","Amy Pflug","","Communication site","1/9/2022 16:00","8/25/2021 14:38","Amy Pflug","25600","0","FALSE","2","5","5","9","","Off","","https://validanto365.sharepoint.com/sites/OSAM-AmysTestKitchen"
"ANGE-1071-EU-MDR-TRANSITION","https://orielstat.sharepoint.com/sites/ange-1071-eu-mdr-transition","FALSE","","0.37","","","Team site","11/9/2021 16:00","12/4/2020 11:00","Deborah Hatcher","25600","0","TRUE","0","0","0","295","","On","",
"ANGE-1201-QMS-13485-QSR","https://orielstat.sharepoint.com/sites/ange-1201-qms-13485-qsr","FALSE","","0.03","","","Team site","1/25/2022 16:00","4/9/2021 12:41","ANGE-1201-QMS-13485-QSR Owners","25600","0","TRUE","1","1","1","13","","On","",
"ANGE-1281-DOC-REM","https://orielstat.sharepoint.com/sites/ange-1281-doc-rem","FALSE","","0.02","","","Team site","7/6/2021 17:00","5/10/2021 12:18","ANGE-1281-DOC-REM Owners","25600","0","TRUE","0","0","0","13","","On","",
"ANGE-1370-DOC-REM","https://orielstat.sharepoint.com/sites/ange-1370-doc-rem","FALSE","","0.03","","","Team site","6/30/2021 17:00","6/24/2021 12:34","ANGE-1370-DOC-REM Owners","25600","0","TRUE","0","0","0","15","","On","",
"Apps","https://orielstat.sharepoint.com/sites/appcatalog","FALSE","","0","SharePoint Service Administrator","","App Catalog Site","","9/18/2021 11:09","SharePoint Service Administrator","25600","0","FALSE","0","0","0","0","","Off","","https://validanto365.sharepoint.com/sites/OSAM-appcatalog"
"BALC-1321-AUDIT-13485","https://orielstat.sharepoint.com/sites/balc-1321-audit-13485","FALSE","","0.28","","","Team site","1/25/2022 16:00","8/10/2021 11:27","BALC-1321-AUDIT-13485 Owners","25600","0","TRUE","1","1","1","40","","On","",
"BAYE-0653-MOCK-MDSAP","https://orielstat.sharepoint.com/sites/baye-0653-mock-mdsap","FALSE","","0.29","","","Team site","12/1/2021 16:00","12/3/2019 8:03","Deborah Hatcher","25600","0","TRUE","0","0","0","120","","On","",
"BAYE-0937-AUDIT-MDSAP-EUMDR","https://orielstat.sharepoint.com/sites/baye-0937-audit-mdsap","FALSE","","0.53","","","Team site","1/25/2022 16:00","8/18/2020 13:06","Deborah Hatcher","25600","0","TRUE","1","1","1","317","","On","","https://validanto365.sharepoint.com/sites/OSAM-baye-0937-audit-mdsap"
"BAYE-1155-INTERNAL-MDR","https://orielstat.sharepoint.com/sites/baye-1155-internal-mdr","FALSE","","0.14","","","Team site","1/31/2022 16:00","2/23/2021 6:13","BAYE-1155-INTERNAL-MDR Owners","25600","0","TRUE","3","2","1","54","","On","",
"BAYE-1518-INT- HYB","https://orielstat.sharepoint.com/sites/baye-1518-int-hyb","FALSE","","0.01","","","Team site","1/25/2022 16:00","10/22/2021 6:40","BAYE-1518-INT- HYB Owners","25600","0","TRUE","1","1","1","15","","On","","https://validanto365.sharepoint.com/sites/OSAM-baye-1518-int-hyb"
"BAYE-1549-INT- HYB","https://orielstat.sharepoint.com/sites/baye-1549-int-hyb","FALSE","","0.01","","","Team site","1/25/2022 16:00","1/20/2022 7:07","BAYE-1549-INT- HYB Owners","25600","0","TRUE","1","1","1","15","","On","","https://validanto365.sharepoint.com/sites/OSAM-baye-1549-int-hyb"
"BAYE-1553-INTERNAL-62304","https://orielstat.sharepoint.com/sites/baye-1553-internal-62304","FALSE","","0","","","Team site","2/1/2022 16:00","1/31/2022 12:58","BAYE-1553-INTERNAL-62304 Owners","25600","0","TRUE","2","4","3","9","","On","",
"BAYE-CON-AXSESS-MDR-MARCH2019-0383","https://orielstat.sharepoint.com/sites/baye-con-axsess-mdr-march2019-0383","FALSE","","0.24","","","Team site","1/3/2021 16:00","2/11/2019 12:00","Pavan Sundrani","25600","0","TRUE","0","0","0","58","","On","",
