NewName,SiteURL,StorageQuota,SiteOwner,SiteTemplate
OSAM-1- Consultant Group Template,https://validanto365.sharepoint.com/sites/OSAM-1- Consultant Group Template,500,JHuson@Validant.com,STS#3
OSAM-12Sigma_Deliverables,https://validanto365.sharepoint.com/sites/OSAM-12Sigma_Deliverables,500,JHuson@Validant.com,STS#3
OSAM-3MHE-1368-QMS-13485-QSR,https://validanto365.sharepoint.com/sites/OSAM-3MHE-1368-QMS-13485-QSR,500,JHuson@Validant.com,STS#3
OSAM-ABBO-1228-SOFTWARE_CON,https://validanto365.sharepoint.com/sites/OSAM-ABBO-1228-SOFTWARE_CON,500,JHuson@Validant.com,STS#3
OSAM-Abbott Diabetes Care,https://validanto365.sharepoint.com/sites/OSAM-Abbott Diabetes Care,500,JHuson@Validant.com,STS#3
OSAM-ABCA-1207-BASE-IVDR,https://validanto365.sharepoint.com/sites/OSAM-ABCA-1207-BASE-IVDR,500,JHuson@Validant.com,STS#3
OSAM-ABIO-1427-AXSESS-MDR,https://validanto365.sharepoint.com/sites/OSAM-ABIO-1427-AXSESS-MDR,500,JHuson@Validant.com,STS#3
OSAM-ABRE-1287-EUA,https://validanto365.sharepoint.com/sites/OSAM-ABRE-1287-EUA,500,JHuson@Validant.com,STS#3
OSAM-Accelerate Legal Request,https://validanto365.sharepoint.com/sites/OSAM-Accelerate Legal Request,500,JHuson@Validant.com,STS#3
OSAM-ADBI-1070-QMS-QSR,https://validanto365.sharepoint.com/sites/OSAM-ADBI-1070-QMS-QSR,500,JHuson@Validant.com,STS#3
OSAM-ADVA-0724-AXSESS-MDR,https://validanto365.sharepoint.com/sites/OSAM-ADVA-0724-AXSESS-MDR,500,JHuson@Validant.com,STS#3
OSAM-ADVA-1350-INTERNAL - MDR + MDSAP,https://validanto365.sharepoint.com/sites/OSAM-ADVA-1350-INTERNAL - MDR + MDSAP,500,JHuson@Validant.com,STS#3
OSAM-ADVA-1382-EU-MDR-TRANSITION,https://validanto365.sharepoint.com/sites/OSAM-ADVA-1382-EU-MDR-TRANSITION,500,JHuson@Validant.com,STS#3
OSAM-ADVA-1452-INTERNAL - MDR + MDSAP,https://validanto365.sharepoint.com/sites/OSAM-ADVA-1452-INTERNAL - MDR + MDSAP,500,JHuson@Validant.com,STS#3
OSAM-ADVA-1544-INTERNAL - MDR + MDSAP,https://validanto365.sharepoint.com/sites/OSAM-ADVA-1544-INTERNAL - MDR + MDSAP,500,JHuson@Validant.com,STS#3
OSAM-AMAZ-1074-NPSW-VALIDATION,https://validanto365.sharepoint.com/sites/OSAM-AMAZ-1074-NPSW-VALIDATION,500,JHuson@Validant.com,STS#3
OSAM-AMER-0802-QMS-QSR,https://validanto365.sharepoint.com/sites/OSAM-AMER-0802-QMS-QSR,500,JHuson@Validant.com,STS#3
OSAM-AMER-1468-STAFFAUG-RA-QA,https://validanto365.sharepoint.com/sites/OSAM-AMER-1468-STAFFAUG-RA-QA,500,JHuson@Validant.com,STS#3
OSAM-Amy's Tasks,https://validanto365.sharepoint.com/sites/OSAM-Amy's Tasks,500,JHuson@Validant.com,STS#3
OSAM-Amy's Test Kitchen,https://validanto365.sharepoint.com/sites/OSAM-Amy's Test Kitchen,500,JHuson@Validant.com,STS#3
OSAM-ANGE-1071-EU-MDR-TRANSITION,https://validanto365.sharepoint.com/sites/OSAM-ANGE-1071-EU-MDR-TRANSITION,500,JHuson@Validant.com,STS#3
OSAM-ANGE-1201-QMS-13485-QSR,https://validanto365.sharepoint.com/sites/OSAM-ANGE-1201-QMS-13485-QSR,500,JHuson@Validant.com,STS#3
OSAM-ANGE-1281-DOC-REM,https://validanto365.sharepoint.com/sites/OSAM-ANGE-1281-DOC-REM,500,JHuson@Validant.com,STS#3
OSAM-ANGE-1370-DOC-REM,https://validanto365.sharepoint.com/sites/OSAM-ANGE-1370-DOC-REM,500,JHuson@Validant.com,STS#3
OSAM-Apps,https://validanto365.sharepoint.com/sites/OSAM-Apps,500,JHuson@Validant.com,STS#3
OSAM-BALC-1321-AUDIT-13485,https://validanto365.sharepoint.com/sites/OSAM-BALC-1321-AUDIT-13485,500,JHuson@Validant.com,STS#3
OSAM-BAYE-0653-MOCK-MDSAP,https://validanto365.sharepoint.com/sites/OSAM-BAYE-0653-MOCK-MDSAP,500,JHuson@Validant.com,STS#3
OSAM-BAYE-0937-AUDIT-MDSAP-EUMDR,https://validanto365.sharepoint.com/sites/OSAM-BAYE-0937-AUDIT-MDSAP-EUMDR,500,JHuson@Validant.com,STS#3
OSAM-BAYE-1155-INTERNAL-MDR,https://validanto365.sharepoint.com/sites/OSAM-BAYE-1155-INTERNAL-MDR,500,JHuson@Validant.com,STS#3
OSAM-BAYE-1518-INT- HYB,https://validanto365.sharepoint.com/sites/OSAM-BAYE-1518-INT- HYB,500,JHuson@Validant.com,STS#3
OSAM-BAYE-1549-INT- HYB,https://validanto365.sharepoint.com/sites/OSAM-BAYE-1549-INT- HYB,500,JHuson@Validant.com,STS#3
OSAM-BAYE-1553-INTERNAL-62304,https://validanto365.sharepoint.com/sites/OSAM-BAYE-1553-INTERNAL-62304,500,JHuson@Validant.com,STS#3
OSAM-BAYE-CON-AXSESS-MDR-MARCH2019-0383,https://validanto365.sharepoint.com/sites/OSAM-BAYE-CON-AXSESS-MDR-MARCH2019-0383,500,JHuson@Validant.com,STS#3
OSAM-BBBI-1259-EUA,https://validanto365.sharepoint.com/sites/OSAM-BBBI-1259-EUA,500,JHuson@Validant.com,STS#3
OSAM-BEMI-0545-510(K),https://validanto365.sharepoint.com/sites/OSAM-BEMI-0545-510(K),500,JHuson@Validant.com,STS#3
OSAM-BIOH-0929-CEMARK,https://validanto365.sharepoint.com/sites/OSAM-BIOH-0929-CEMARK,500,JHuson@Validant.com,STS#3
OSAM-BIOH-1164-AXSESS-MDR,https://validanto365.sharepoint.com/sites/OSAM-BIOH-1164-AXSESS-MDR,500,JHuson@Validant.com,STS#3
OSAM-BIOL-1546-EU-MDR-TRANSITION,https://validanto365.sharepoint.com/sites/OSAM-BIOL-1546-EU-MDR-TRANSITION,500,JHuson@Validant.com,STS#3
OSAM-BIOR-1215-AUDIT-MDSAP,https://validanto365.sharepoint.com/sites/OSAM-BIOR-1215-AUDIT-MDSAP,500,JHuson@Validant.com,STS#3
OSAM-BIOS-1265-BASE-IVDR,https://validanto365.sharepoint.com/sites/OSAM-BIOS-1265-BASE-IVDR,500,JHuson@Validant.com,STS#3
OSAM-BMS Management,https://validanto365.sharepoint.com/sites/OSAM-BMS Management,500,JHuson@Validant.com,STS#3
OSAM-Bobby's Working Documents,https://validanto365.sharepoint.com/sites/OSAM-Bobby's Working Documents,500,JHuson@Validant.com,STS#3
OSAM-BOST-1424-STAFFAUG-RA-QA,https://validanto365.sharepoint.com/sites/OSAM-BOST-1424-STAFFAUG-RA-QA,500,JHuson@Validant.com,STS#3
