NewName,OLDSiteURL,CorrectedUrl,StorageQuota,SiteOwner,SiteTemplate
OSAM-1- Consultant Group Template,https://validanto365.sharepoint.com/sites/OSAM-1- Consultant Group Template,https://validanto365.sharepoint.com/sites/OSAM-consultantgrouptemplate,500,JHuson@Validant.com,STS#0
OSAM-12Sigma_Deliverables,https://validanto365.sharepoint.com/sites/OSAM-12Sigma_Deliverables,https://validanto365.sharepoint.com/sites/OSAM-12sigma_deliverables,500,JHuson@Validant.com,STS#0
OSAM-3MHE-1368-QMS-13485-QSR,https://validanto365.sharepoint.com/sites/OSAM-3MHE-1368-QMS-13485-QSR,https://validanto365.sharepoint.com/sites/OSAM-3mhe-1368-qms-13485-qsr,500,JHuson@Validant.com,STS#0
OSAM-ABBO-1228-SOFTWARE_CON,https://validanto365.sharepoint.com/sites/OSAM-ABBO-1228-SOFTWARE_CON,https://validanto365.sharepoint.com/sites/OSAM-abbo-1228-software_con,500,JHuson@Validant.com,STS#0
OSAM-Abbott Diabetes Care,https://validanto365.sharepoint.com/sites/OSAM-Abbott Diabetes Care,https://validanto365.sharepoint.com/sites/OSAM-abbottdiabetescare,500,JHuson@Validant.com,STS#0
OSAM-ABCA-1207-BASE-IVDR,https://validanto365.sharepoint.com/sites/OSAM-ABCA-1207-BASE-IVDR,https://validanto365.sharepoint.com/sites/OSAM-abca-1207-base-ivdr,500,JHuson@Validant.com,STS#0
OSAM-ABIO-1427-AXSESS-MDR,https://validanto365.sharepoint.com/sites/OSAM-ABIO-1427-AXSESS-MDR,https://validanto365.sharepoint.com/sites/OSAM-abio-1427-axsess-mdr,500,JHuson@Validant.com,STS#0
OSAM-ABRE-1287-EUA,https://validanto365.sharepoint.com/sites/OSAM-ABRE-1287-EUA,https://validanto365.sharepoint.com/sites/OSAM-abre-1287-eua,500,JHuson@Validant.com,STS#0
OSAM-Accelerate Legal Request,https://validanto365.sharepoint.com/sites/OSAM-Accelerate Legal Request,https://validanto365.sharepoint.com/sites/OSAM-AccelerateLegalRequest,500,JHuson@Validant.com,STS#0
OSAM-ADBI-1070-QMS-QSR,https://validanto365.sharepoint.com/sites/OSAM-ADBI-1070-QMS-QSR,https://validanto365.sharepoint.com/sites/OSAM-adbi-1070-qms-qsr,500,JHuson@Validant.com,STS#0
