NewName,SiteUrl,StorageQuota,SiteOwner,SiteTemplate,GroupName
1- Consultant Group Template,https://validanto365.sharepoint.com/sites/OSAM-consultantgrouptemplate,500,Jhuson@validant.com,sts#3,
12Sigma_Deliverables,https://validanto365.sharepoint.com/sites/OSAM-12sigma_deliverables,500,Jhuson@validant.com,sts#3,
3MHE-1368-QMS-13485-QSR,https://validanto365.sharepoint.com/sites/OSAM-3mhe-1368-qms-13485-qsr,500,Jhuson@validant.com,sts#3,
ABBO-1228-SOFTWARE_CON,https://validanto365.sharepoint.com/sites/OSAM-abbo-1228-software_con,500,Jhuson@validant.com,sts#3,
Abbott Diabetes Care,https://validanto365.sharepoint.com/sites/OSAM-abbottdiabetescare,500,Jhuson@validant.com,sts#3,
ABCA-1207-BASE-IVDR,https://validanto365.sharepoint.com/sites/OSAM-abca-1207-base-ivdr,500,Jhuson@validant.com,sts#3,
ABIO-1427-AXSESS-MDR,https://validanto365.sharepoint.com/sites/OSAM-abio-1427-axsess-mdr,500,Jhuson@validant.com,sts#3,
ABRE-1287-EUA,https://validanto365.sharepoint.com/sites/OSAM-abre-1287-eua,500,Jhuson@validant.com,sts#3,
Accelerate Legal Request,https://validanto365.sharepoint.com/sites/OSAM-AccelerateLegalRequest,500,Jhuson@validant.com,sts#3,
ADBI-1070-QMS-QSR,https://validanto365.sharepoint.com/sites/OSAM-adbi-1070-qms-qsr,500,Jhuson@validant.com,sts#3,
ADVA-0724-AXSESS-MDR,https://validanto365.sharepoint.com/sites/OSAM-adva-0724-axsess-mdr,500,Jhuson@validant.com,sts#3,
ADVA-1350-INTERNAL - MDR + MDSAP,https://validanto365.sharepoint.com/sites/OSAM-adva-1350-internal-mdrmdsap,500,Jhuson@validant.com,sts#3,
ADVA-1382-EU-MDR-TRANSITION,https://validanto365.sharepoint.com/sites/OSAM-adva-1382-eu-mdr-transition,500,Jhuson@validant.com,sts#3,
ADVA-1452-INTERNAL - MDR + MDSAP,https://validanto365.sharepoint.com/sites/OSAM-adva-1452-internal-mdrmdsap,500,Jhuson@validant.com,sts#3,
ADVA-1544-INTERNAL - MDR + MDSAP,https://validanto365.sharepoint.com/sites/OSAM-adva-1544-internal-mdrmdsap,500,Jhuson@validant.com,sts#3,
AMAZ-1074-NPSW-VALIDATION,https://validanto365.sharepoint.com/sites/OSAM-amaz-1074-npsw-validation,500,Jhuson@validant.com,sts#3,
