"NewName","SiteUrl","StorageQuota","SiteOwner","SiteTemplate","GroupName"
"1- Consultant Group Template","https://validanto365.sharepoint.com/sites/OSAM-consultantgrouptemplate","500","Jhuson@validant.com","sts#3","OSAM-consultantgrouptemplate"
"12Sigma_Deliverables","https://validanto365.sharepoint.com/sites/OSAM-12sigma_deliverables","500","Jhuson@validant.com","sts#3","OSAM-12sigma_deliverables"
"3MHE-1368-QMS-13485-QSR","https://validanto365.sharepoint.com/sites/OSAM-3mhe-1368-qms-13485-qsr","500","Jhuson@validant.com","sts#3","OSAM-3mhe-1368-qms-13485-qsr"
"ABBO-1228-SOFTWARE_CON","https://validanto365.sharepoint.com/sites/OSAM-abbo-1228-software_con","500","Jhuson@validant.com","sts#3","OSAM-abbo-1228-software_con"
"Abbott Diabetes Care","https://validanto365.sharepoint.com/sites/OSAM-abbottdiabetescare","500","Jhuson@validant.com","sts#3","OSAM-abbottdiabetescare"
"ABCA-1207-BASE-IVDR","https://validanto365.sharepoint.com/sites/OSAM-abca-1207-base-ivdr","500","Jhuson@validant.com","sts#3","OSAM-abca-1207-base-ivdr"
"ABIO-1427-AXSESS-MDR","https://validanto365.sharepoint.com/sites/OSAM-abio-1427-axsess-mdr","500","Jhuson@validant.com","sts#3","OSAM-abio-1427-axsess-mdr"
"ABRE-1287-EUA","https://validanto365.sharepoint.com/sites/OSAM-abre-1287-eua","500","Jhuson@validant.com","sts#3","OSAM-abre-1287-eua"
"Accelerate Legal Request","https://validanto365.sharepoint.com/sites/OSAM-AccelerateLegalRequest","500","Jhuson@validant.com","sts#3","OSAM-AccelerateLegalRequest"
"ADBI-1070-QMS-QSR","https://validanto365.sharepoint.com/sites/OSAM-adbi-1070-qms-qsr","500","Jhuson@validant.com","sts#3","OSAM-adbi-1070-qms-qsr"
"ADVA-0724-AXSESS-MDR","https://validanto365.sharepoint.com/sites/OSAM-adva-0724-axsess-mdr","500","Jhuson@validant.com","sts#3","OSAM-adva-0724-axsess-mdr"
"ADVA-1350-INTERNAL - MDR + MDSAP","https://validanto365.sharepoint.com/sites/OSAM-adva-1350-internal-mdrmdsap","500","Jhuson@validant.com","sts#3","OSAM-adva-1350-internal-mdrmdsap"
"ADVA-1382-EU-MDR-TRANSITION","https://validanto365.sharepoint.com/sites/OSAM-adva-1382-eu-mdr-transition","500","Jhuson@validant.com","sts#3","OSAM-adva-1382-eu-mdr-transition"
"ADVA-1452-INTERNAL - MDR + MDSAP","https://validanto365.sharepoint.com/sites/OSAM-adva-1452-internal-mdrmdsap","500","Jhuson@validant.com","sts#3","OSAM-adva-1452-internal-mdrmdsap"
"ADVA-1544-INTERNAL - MDR + MDSAP","https://validanto365.sharepoint.com/sites/OSAM-adva-1544-internal-mdrmdsap","500","Jhuson@validant.com","sts#3","OSAM-adva-1544-internal-mdrmdsap"
"AMAZ-1074-NPSW-VALIDATION","https://validanto365.sharepoint.com/sites/OSAM-amaz-1074-npsw-validation","500","Jhuson@validant.com","sts#3","OSAM-amaz-1074-npsw-validation"
"AMER-0802-QMS-QSR","https://validanto365.sharepoint.com/sites/OSAM-amer-0802-qms-qsr","500","Jhuson@validant.com","sts#3","OSAM-amer-0802-qms-qsr"
"AMER-1468-STAFFAUG-RA-QA","https://validanto365.sharepoint.com/sites/OSAM-amer-1468-staffaug-ra-qa","500","Jhuson@validant.com","sts#3","OSAM-amer-1468-staffaug-ra-qa"
"Amy's Tasks","https://validanto365.sharepoint.com/sites/OSAM-AmysTasks","500","Jhuson@validant.com","sts#3","OSAM-AmysTasks"
"Amy's Test Kitchen","https://validanto365.sharepoint.com/sites/OSAM-AmysTestKitchen","500","Jhuson@validant.com","sts#3","OSAM-AmysTestKitchen"
"ANGE-1071-EU-MDR-TRANSITION","https://validanto365.sharepoint.com/sites/OSAM-ange-1071-eu-mdr-transition","500","Jhuson@validant.com","sts#3","OSAM-ange-1071-eu-mdr-transition"
"ANGE-1201-QMS-13485-QSR","https://validanto365.sharepoint.com/sites/OSAM-ange-1201-qms-13485-qsr","500","Jhuson@validant.com","sts#3","OSAM-ange-1201-qms-13485-qsr"
"ANGE-1281-DOC-REM","https://validanto365.sharepoint.com/sites/OSAM-ange-1281-doc-rem","500","Jhuson@validant.com","sts#3","OSAM-ange-1281-doc-rem"
"ANGE-1370-DOC-REM","https://validanto365.sharepoint.com/sites/OSAM-ange-1370-doc-rem","500","Jhuson@validant.com","sts#3","OSAM-ange-1370-doc-rem"
"Apps","https://validanto365.sharepoint.com/sites/OSAM-appcatalog","500","Jhuson@validant.com","sts#3","OSAM-appcatalog"
"BALC-1321-AUDIT-13485","https://validanto365.sharepoint.com/sites/OSAM-balc-1321-audit-13485","500","Jhuson@validant.com","sts#3","OSAM-balc-1321-audit-13485"
"BAYE-0653-MOCK-MDSAP","https://validanto365.sharepoint.com/sites/OSAM-baye-0653-mock-mdsap","500","Jhuson@validant.com","sts#3","OSAM-baye-0653-mock-mdsap"
"BAYE-0937-AUDIT-MDSAP-EUMDR","https://validanto365.sharepoint.com/sites/OSAM-baye-0937-audit-mdsap","500","Jhuson@validant.com","sts#3","OSAM-baye-0937-audit-mdsap"
"BAYE-1155-INTERNAL-MDR","https://validanto365.sharepoint.com/sites/OSAM-baye-1155-internal-mdr","500","Jhuson@validant.com","sts#3","OSAM-baye-1155-internal-mdr"
"BAYE-1518-INT- HYB","https://validanto365.sharepoint.com/sites/OSAM-baye-1518-int-hyb","500","Jhuson@validant.com","sts#3","OSAM-baye-1518-int-hyb"
